ID_Carro,Marca,Año,Tamaño_Motor,Combustible,Transmision,Kilometraje,Condicion,Precio,Modelo
1.0,Tesla,2016,2.3,Gasolina,Manual,114832,Nuevo,26613.92,Modelo X
2.0,BMW,2018,4.4,Eléctrico,Manual,143190,Usado,14679.61,Serie 5
3.0,Audi,2013,4.5,Eléctrico,Manual,181601,Nuevo,44402.61,A4
4.0,Tesla,2011,4.1,Diésel,Automática,68682,Nuevo,86374.33,Modelo Y
5.0,Ford,2009,2.6,Diésel,Manual,223009,Nuevo,73577.1,Mustang
6.0,Audi,2019,2.4,Diésel,Automática,246553,Nuevo,88969.76,Q7
7.0,Audi,2020,4.0,Eléctrico,Automática,135486,Usado,63498.75,Q5
8.0,Tesla,2017,5.3,Híbrido,Automática,83030,Nuevo,17381.19,Modelo Y
9.0,Honda,2023,5.7,Eléctrico,Manual,120360,Nuevo,15905.62,Civic
10.0,Ford,2010,1.5,Eléctrico,Automática,135009,Nuevo,9560.22,Explorer
11.0,Tesla,2001,1.8,Diésel,Automática,298875,Nuevo,58872.6,Modelo 3
12.0,Ford,2017,5.7,Eléctrico,Automática,169737,Usado,28074.19,Mustang
13.0,Ford,2006,4.7,Gasolina,Automática,114360,Nuevo,74766.45,Fiesta
14.0,Audi,2023,5.4,Eléctrico,Automática,263894,Nuevo,70193.74,Q7
15.0,BMW,2014,2.0,Eléctrico,Automática,65018,Nuevo,35220.52,X3
16.0,Ford,2010,3.9,Eléctrico,Automática,240904,Usado,21796.16,Mustang
17.0,Mercedes,2017,4.5,Eléctrico,Automática,136817,Nuevo,14728.03,GLA
18.0,Audi,2022,4.4,Híbrido,Automática,192803,Nuevo,75044.95,A3
19.0,Honda,2011,3.0,Eléctrico,Automática,86984,Nuevo,47791.89,Civic
20.0,BMW,2005,1.1,Gasolina,Automática,290595,Nuevo,35735.34,X5
21.0,Mercedes,2019,3.9,Gasolina,Automática,192608,Usado,86382.04,C-Class
22.0,Mercedes,2022,2.3,Eléctrico,Manual,12150,Usado,61393.26,E-Class
23.0,Honda,2012,3.3,Diésel,Manual,275550,Nuevo,54210.22,CR-V
24.0,BMW,2019,5.8,Híbrido,Automática,150853,Nuevo,75621.02,X5
25.0,Audi,2015,3.0,Eléctrico,Automática,188489,Nuevo,82480.4,Q5
26.0,Toyota,2017,5.2,Eléctrico,Automática,18325,Usado,70176.95,Camry
27.0,BMW,2009,1.9,Eléctrico,Manual,199756,Usado,46800.6,X3
28.0,Honda,2022,4.4,Diésel,Manual,204541,Nuevo,41033.39,Accord
29.0,Mercedes,2007,5.9,Diésel,Manual,17669,Usado,78308.17,GLC
30.0,Audi,2017,1.5,Diésel,Automática,207836,Nuevo,54201.18,A3
31.0,BMW,2020,1.0,Híbrido,Automática,132915,Usado,71916.68,X5
32.0,Toyota,2000,3.2,Gasolina,Automática,196681,Usado,89587.88,Corolla
33.0,Toyota,2022,1.5,Híbrido,Automática,50812,Usado,92009.61,Corolla
34.0,Ford,2007,4.7,Diésel,Manual,278203,Nuevo,31382.99,Fiesta
35.0,Ford,2005,5.6,Gasolina,Automática,252862,Nuevo,22849.55,Mustang
36.0,Tesla,2004,3.2,Gasolina,Manual,171840,Nuevo,29822.3,Modelo 3
37.0,Honda,2014,2.3,Diésel,Manual,25395,Nuevo,76380.32,Fit
38.0,BMW,2021,3.2,Diésel,Automática,282346,Nuevo,40155.51,Serie 5
39.0,BMW,2014,4.6,Híbrido,Manual,229707,Nuevo,21471.98,X3
40.0,Tesla,2001,1.0,Diésel,Manual,247181,Nuevo,14346.62,Modelo X
41.0,Mercedes,2000,3.9,Gasolina,Manual,204120,Nuevo,36094.75,E-Class
42.0,Mercedes,2022,4.1,Eléctrico,Manual,224839,Nuevo,17932.96,GLA
43.0,Tesla,2022,4.2,Diésel,Automática,219882,Nuevo,19855.49,Modelo Y
46.0,BMW,2017,1.5,Híbrido,Automática,87945,Nuevo,16167.56,Serie 5
47.0,Tesla,2017,2.0,Diésel,Manual,242802,Nuevo,85214.72,Modelo S
48.0,BMW,2016,5.4,Gasolina,Automática,250168,Nuevo,85266.84,X5
49.0,Toyota,2007,4.7,Gasolina,Automática,2881,Usado,36278.13,Prius
50.0,Ford,2014,1.1,Eléctrico,Automática,111860,Usado,13355.54,Explorer
51.0,Audi,2007,2.2,Diésel,Automática,166415,Usado,71972.18,Q5
52.0,Ford,2016,2.1,Híbrido,Automática,139728,Usado,39212.51,Mustang
53.0,Tesla,2011,2.4,Gasolina,Manual,267885,Nuevo,9319.14,Modelo S
54.0,Audi,2007,2.2,Eléctrico,Automática,147733,Usado,19993.56,A4
55.0,Toyota,2013,1.3,Diésel,Manual,290834,Nuevo,18035.41,Camry
56.0,Tesla,2003,3.3,Gasolina,Manual,294977,Nuevo,60966.05,Modelo S
58.0,BMW,2000,4.0,Diésel,Manual,71240,Nuevo,80341.84,Serie 5
59.0,Toyota,2018,4.4,Gasolina,Automática,106898,Nuevo,56919.02,Prius
60.0,BMW,2015,1.4,Gasolina,Manual,209304,Nuevo,45104.74,Serie 3
61.0,Mercedes,2013,5.8,Gasolina,Manual,80522,Usado,63774.29,GLC
62.0,Honda,2020,5.2,Diésel,Automática,145512,Nuevo,47162.21,Accord
63.0,Honda,2015,5.0,Diésel,Automática,119107,Nuevo,28379.42,CR-V
64.0,Toyota,2004,5.1,Eléctrico,Automática,22462,Usado,69523.76,Camry
65.0,Honda,2008,5.7,Híbrido,Automática,279965,Nuevo,87958.17,Fit
66.0,Audi,2001,3.7,Diésel,Manual,92889,Nuevo,40422.68,A4
67.0,Honda,2017,2.0,Híbrido,Automática,88952,Usado,84946.15,CR-V
68.0,BMW,2005,4.1,Gasolina,Manual,193596,Usado,45952.79,X3
69.0,BMW,2008,4.7,Diésel,Manual,177505,Usado,43126.91,Serie 5
70.0,Tesla,2000,4.7,Eléctrico,Manual,221576,Nuevo,7690.81,Modelo X
71.0,BMW,2008,3.6,Eléctrico,Manual,219393,Nuevo,71051.5,Serie 5
72.0,Tesla,2015,1.3,Híbrido,Manual,275455,Nuevo,81712.74,Modelo S
73.0,BMW,2012,2.9,Gasolina,Manual,254084,Usado,68037.91,X5
74.0,Audi,2008,5.6,Híbrido,Automática,129466,Nuevo,19379.29,A3
75.0,Tesla,2020,3.9,Gasolina,Manual,30531,Nuevo,14812.88,Modelo S
76.0,Ford,2012,3.7,Eléctrico,Manual,14588,Nuevo,59421.58,Fiesta
77.0,Mercedes,2008,2.3,Híbrido,Manual,143452,Nuevo,43144.04,GLC
78.0,Toyota,2010,2.8,Eléctrico,Automática,173717,Nuevo,45764.29,RAV4
79.0,BMW,2003,5.5,Eléctrico,Automática,161929,Usado,96941.02,X5
80.0,Honda,2001,4.3,Gasolina,Manual,21711,Nuevo,73772.65,Fit
81.0,BMW,2005,4.9,Híbrido,Automática,136169,Usado,44119.84,Serie 5
82.0,Honda,2013,3.3,Híbrido,Manual,159465,Usado,6814.43,CR-V
83.0,Mercedes,2003,4.2,Eléctrico,Automática,284220,Usado,8239.09,GLC
84.0,Mercedes,2005,2.2,Eléctrico,Manual,160389,Nuevo,70056.35,E-Class
85.0,Mercedes,2018,4.5,Gasolina,Automática,58480,Nuevo,84585.18,GLC
86.0,Honda,2005,3.1,Diésel,Automática,269188,Nuevo,72231.75,Fit
87.0,BMW,2001,3.2,Diésel,Automática,250309,Usado,43559.34,X3
88.0,Mercedes,2017,4.2,Eléctrico,Manual,55486,Nuevo,7957.9,C-Class
89.0,Audi,2012,5.7,Diésel,Manual,55162,Nuevo,96903.15,A3
90.0,Tesla,2008,1.3,Diésel,Manual,210359,Nuevo,98701.93,Modelo S
91.0,Honda,2022,5.1,Diésel,Automática,29882,Usado,57189.63,CR-V
92.0,Honda,2018,2.5,Diésel,Automática,54078,Usado,11713.74,CR-V
93.0,BMW,2012,3.2,Eléctrico,Manual,238680,Nuevo,56392.39,Serie 3
95.0,Honda,2000,2.5,Diésel,Manual,174898,Nuevo,69598.62,Fit
96.0,Mercedes,2023,3.5,Gasolina,Manual,98938,Nuevo,73398.98,C-Class
98.0,Mercedes,2006,3.5,Híbrido,Manual,32543,Usado,15118.61,E-Class
